Customer,Email,Type,Exterior_Color,Manual_Transmission,Wheel_Drive,Sunroof
Charlene Harper,charp@aoll.com,Truck,Gold,NO,YES,NO
Cathy Jones,CJ1232@euro.com,SUV,White,NO,NO,NO
Krin Harper,kim@banditco.com,Sedan,Purple,YES,NO,YES
Darren Martinez,martinez@yahhoo.com,Coupe,Brown,NO,NO,YES
Lloyd Payne,LP123@payne.net,SUV,Tan,NO,YES,YES
Paul Holt,paul.holt@hmail.com,SUV,Gray,YES,NO,NO
Gloria Tucker,GT.GT@booww.net,Minivan,Blue,NO,NO,YES
Gordon Dixon,g.dixon@dixonmail.com,Sedan,Red,NO,NO,NO
Rafael Mendoza,raf@mol.com,Wagon,Orange,YES,NO,YES
Katherine Holt,kath.holt@wmail.net,Truck,Red,NO,NO,NO
Martha Lowe,marthaL@bn.net,Truck,Red,NO,YES,NO
Jackson Clark,jackson.clark@attt.com,Coupe,Brown,NO,NO,NO
Mario Olson,321MO123@qws.com,Coupe,Blue,YES,NO,YES
Willie Simmons,billsimm@yehoo.com,Wagon,Blue,NO,NO,NO
Crystal Lowe,crystal.lo@cpj.com,SUV,Green,NO,NO,NO
Gina Ray,g.ray@winm.com,SUV,Silver,YES,NO,NO
Marsha Terry,mterry@terryco.com,Sedan,Green,YES,NO,NO
Dora Crawford,dora@bmail.net,Minivan,Gray,NO,NO,NO
Salvador Mckinney,SM1987@jon.com,Minivan,White,NO,NO,YES
Todd Graham,toddg@ahoo.com,SUV,Silver,YES,YES,NO
Mattie Sanchez,MatSan@iwes.com,Wagon,Black,NO,NO,YES
Matthew Fuller,M.Full@p21e.com,Wagon,Silver,YES,NO,NO
Leona Anderson,leona@wwsa.net,Sedan,Brown,NO,NO,YES
Bonnie Gomez,BG99@pws.com,Sedan,Gray,YES,NO,NO
Martin Ross,martin.ross@sol.net,Sedan,Gray,YES,NO,NO
Roger Perkins,roger@perkins.net,Sedan,Red,NO,NO,YES
Kathy Medina,KLM@kpng.com,Coupe,Gray,NO,NO,NO
Zoe Reyes,zoey@wsa.com,SUV,Brown,YES,YES,YES
Nora Horton,N.Horton@qpq.com,SUV,White,NO,YES,NO
Felix Stephens,FS3@ditts.net,Coupe,Green,NO,NO,NO
Franklin Stewart,frank.stewart@pmail.net,Minivan,White,NO,NO,NO
Layla Sanders,LS32@ssws.com,Minivan,White,NO,NO,YES
Beth Pena,bethany@llws.com,Truck,Red,YES,NO,NO
Leona Parker,lpark@oop.com,Truck,Green,NO,NO,NO
Jean Clark,jeanie@clark.com,Truck,Gray,NO,NO,YES
Carolyn Mitchelle,CM9001@aool.com,Truck,Gold,YES,YES,NO
Alexander Watson,alex@pwqq.com,SUV,Blue,YES,NO,YES
Sonia Peters,sonpet@wawaq.com,SUV,Silver,YES,NO,NO
Julia Stephens,j.stephens@wmail.com,SUV,Gray,YES,NO,NO
Rhonda Matthews,rmatthews@uups.com,SUV,Gray,YES,NO,NO
Camila Mason,cam.mason@aul.com,SUV,White,YES,NO,YES
Lance Day,lance_day@wer.com,SUV,Black,NO,NO,NO
Cameron Roberts,CMR@uuga.com,SUV,Black,NO,NO,YES
Timmothy Cook,tim.ryan.com@aoll.com,Wagon,Black,NO,NO,YES
Stephanie Wood,swood@plp.net,Coupe,Red,YES,NO,NO
Olivia Woods,olivia@woods.net,Coupe,White,YES,NO,NO
Abigail Obrien,AO922@aaol.com,Coupe,Red,YES,NO,NO
Dana Hamilton,dana.ham@fedd.net,Sedan,Green,YES,NO,YES
Francisco Harper,franharp@fm.com,Wagon,Blue,YES,NO,NO
Gordon Crawford,33GC22@bbool.com,Wagon,Blue,NO,NO,NO
Alicia Powell,a.powell@rox.com,Truck,Blue,NO,YES,YES
Sheila Welch,sheliaw@xsq.com,Truck,White,YES,NO,NO
Julian Carr,j.carr@qwc.com,Truck,Red,NO,NO,NO
Carolyn Fernandez,CFF@sur.com,Truck,Green,YES,NO,YES
Harper Flores,harpflo@yry.net,SUV,Black,NO,NO,YES
Harper Flores,harpflo@yry.net,SUV,Black,NO,NO,YES
Harper Flores,harpflo@yry.net,SUV,Black,NO,NO,YES
Harper Flores,harpflo@yry.net,SUV,Black,NO,NO,YES
